# Alert SMARTS patterns selected to be used as filters
Alert Name,Alert SMARTS
ALERT_SCMT_N_Halo_Compounds,"N[F,I,Cl,Br]"
ALERT_SCMT_N_Oxide_aliphatic,[N+!$(N=O)][O-X1]
ALERT_SCMT_Nitrobenz_azadiazole_1,"c1ccc(n[o,s]n2)c2c1[N;!R](~[O;X1])~[O;X1]"
ALERT_SCMT_Nitrobenz_azadiazole_2,"c1c([N;!R](~[O;X1])~[O;X1])cc(n[o,s]n2)c2c1"
ALERT_SCMT_Nitrogen_valence_violations_Pentavalent_N,[#7v5]
ALERT_SCMT_Nitroso,[N!$([N+][O-])]=O
ALERT_SCMT_Othoester,C(O)(O)[OH]
ALERT_SCMT_Oxygen_valence_violations_Trivalent_O,[#8v3]
ALERT_SCMT_Peroxide_Compound,OO
ALERT_SCMT_Phenanthrene,c12cccc3c1c4c(cc3)cccc4cc2
ALERT_SCMT_Phosphorane,C=P
ALERT_SCMT_PolyAmine,([#7+1!r].[#7+1!r].[#7+1!r])
ALERT_SCMT_Polyene,C=!@CC=!@C
ALERT_SCMT_Polynuclear_Aromatic_1,c1cccc(cc(cccc2)c2c3)c13
ALERT_SCMT_Polynuclear_Aromatic_2,c1cccc(c(cccc2)c2cc3)c13
ALERT_SCMT_Polysulfide,*[SX2][SX2][SX2]*
ALERT_SCMT_Positive_Sulphur,[#16+1!$([#16]~[O-])]
ALERT_SCMT_Pyrylium,c1ccc[o+]c1
ALERT_SCMT_Sulfonate_Ester,"O=S(=O)O[C,c]"
ALERT_SCMT_Sulphate_Ester,"COS(=O)O[C,c]"
ALERT_SCMT_Sulphonyl_Cyanide,S(=O)(=O)C#N
ALERT_SCMT_Sulphur_Halide,"[#16][F,Cl,Br,I]"
ALERT_SCMT_Sulphur_Nitrogen_single_bond,[SX2H0]!@[N]
ALERT_SCMT_Tetraazinane,C1NNC=NN1
ALERT_SCMT_Thioaldehyde,*[CH1](=!@S)
ALERT_SCMT_Thiocyanate,SC#N
ALERT_SCMT_Thiophosphothionate,"P(=S)(-[S;H1,H0$(S(P)C)])(-[O;H1,H0$(O(P)C)])(-N(C)C)"
ALERT_SCMT_Three_Membered_Heterocycle,"*1[O,S]*1"
ALERT_SCMT_Tri_Pentavalent_S,"[#16v3,#16v5]"
ALERT_SCMT_Triacyloxime,C(=O)N(C(=O))OC(=O)
ALERT_SCMT_Triphenyl_Boranyl,B(c1ccccc1)(c2ccccc2)c3ccccc3
ALERT_SCMT_Triphenyl_Phosphine,P(c1ccccc1)(c2ccccc2)(c3ccccc3)
ALERT_SCMT_Triphenyl_Silyl,[Si](c1ccccc1)(c2ccccc2)(c3ccccc3)
ALERT_SCMT_ab_unsat_ketone_1,O=C([C!r]=[C!r]C)[!O&!N]
ALERT_SCMT_ab_unsat_ketone_2,O=C([!O&!N])[C!r]=[C&D1!r]
ALERT_SCMT_acyc_diazo_2,N=!@N
